Function Selector,Resolved Function Signature,Payable,View,Pure,Returns,Entry Point,Branch Count,Emitted Events,Custom Errors,Storage Slots,Strings,Hardcoded Addresses,Minimum Gas Used,Maximum Gas Used,Average Gas Used,External Calls Made,Control Statements
689f036b,"getBorrowed(arg0 uint256)",false,false,false,uint256,1778,29,"","","0 + keccak256(memory[0])
0x0e
0x01 + keccak256(memory[0])
0x0b
0x08
keccak256(memory[0])
0x0f
0x0d
0x0c","SafeMath: division by zero
SafeMath: multiplication overflow
borrow rate is absurdly high","",21185,40731,30631,"address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, 0x536166654d6174683a206469766973696f6e206279207a65726f000000000000, 0x08c379a000000000000000000000000000000000000000000000000000000000);","if (storage[(0x01 + keccak256(memory[0]))]) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (!((block.number < storage[0x0e]))) { .. }
if (storage[0x0d]) { .. }
if (((storage[0x0d] * 0x0de0b6b3a7640000) / storage[0x0d]) == 0x0de0b6b3a7640000) { .. }
if (storage[keccak256(memory[0])]) { .. }
if (!((storage[0x0e] > block.number))) { .. }
if (!(((memory[0x40].length) & (((block.number - storage[0x0e]) > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / memory[0x40].length)))))) { .. }
if (memory[0x40].length * (block.number - storage[0x0e])) { .. }
if (!((((!((!((memory[0x40].length * (block.number - storage[0x0e]))))))) & ((storage[0x0b] > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / (memory[0x40].length * (block.number - storage[0x0e])))))))) { .. }
if (!(((storage[0x0d]) & ((0x0de0b6b3a7640000 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / storage[0x0d])))))) { .. }
if (((memory[0x40].length * (block.number - storage[0x0e])) / memory[0x40].length) == (block.number - storage[0x0e])) { .. }
if (!((block.number == storage[0x0e]))) { .. }
if ((((memory[0x40].length * (block.number - storage[0x0e])) * storage[0x0b]) / (memory[0x40].length * (block.number - storage[0x0e]))) == storage[0x0b]) { .. }"
f77c4791,"controller()",false,true,false,uint256,3090,1,"","","0x10","","",21249,23469,22360,"",""
182df0f5,"exchangeRateStored()",false,true,false,uint256,1220,10,"","","0x0b
0x03
0x0c
0x09
0x0f","SafeMath: subtraction overflow
SafeMath: addition overflow","",21230,30420,27899,"","if (!((storage[0x0f] > ~(storage[0x0b])))) { .. }
if (!((storage[0x0c] > (storage[0x0f] + storage[0x0b])))) { .. }
if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0c]))) { .. }
if (storage[0x03]) { .. }
if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0f]))) { .. }"
23b872dd,"Unresolved_23b872dd(arg0 address, arg1 address)",false,false,true,,1273,3,"","","","","",21186,21404,21303,"","if (arg0 == (address(arg0))) { .. }
if (arg1 == (address(arg1))) { .. }"
95d89b41,"symbol()",false,true,false,bytes memory,2260,10,"","","keccak256(memory[0])
0x01 + keccak256(memory[0])
0x01","","",21207,28148,23784,"","if (!(((bytes1(storage[0x01])) == ((storage[0x01] / 0x02) < 0x20)))) { .. }
if (!(((bytes1(storage[0x01])) == ((bytes1((storage[0x01] / 0x02))) < 0x20)))) { .. }
if (((0x20 + memory[0x40]) + (storage[0x01] / 0x02)) > (0x20 + (0x20 + (0x20 + memory[0x40])))) { .. }
if (!((storage[0x01] / 0x02))) { .. }
if (0x1f < (storage[0x01] / 0x02)) { .. }
if (bytes1(storage[0x01])) { .. }
if (((0x20 + memory[0x40]) + (storage[0x01] / 0x02)) > (0x20 + (0x20 + memory[0x40]))) { .. }"
bd6d894d,"exchangeRateCurrent()",false,false,false,,2613,15,"","","0x0d
0x03
0x0b
0x0f
0x09
0x0c
0x08
0x0e","SafeMath: addition overflow
borrow rate is absurdly high
SafeMath: subtraction overflow","",21207,39836,39689,"address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, 0x536166654d6174683a207375627472616374696f6e206f766572666c6f770000, 0x08c379a000000000000000000000000000000000000000000000000000000000);","if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0c]))) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (!((block.number == storage[0x0e]))) { .. }
if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0f]))) { .. }
if (!((storage[0x0f] > ~(storage[0x0b])))) { .. }
if (storage[0x03]) { .. }
if (!((storage[0x0c] > (storage[0x0f] + storage[0x0b])))) { .. }"
a0712d68,"mint(arg0 uint256)",false,false,false,,2281,42,"","","0x0b
0x10
0x03
0x09
0x13
0x0f
0x0c
0x0d
0x08
0x07
0x0e","SafeMath: addition overflow
re-entered
Address: call to non-contract
SafeERC20: ERC20 operation did not succeed
ETH value not enough
blocknumber check fails
ERC20 don't accecpt ETH
SafeMath: subtraction overflow","",21265,53916,30258,"address(address(storage[0x10])).call{ value: 0 }(0x4ef4c3e100000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000, 0x536166654d6174683a207375627472616374696f6e206f766572666c6f770000);
address(address((address((address(storage[0x13])))))).call{ value: 0 }(0x08c379a000000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address((address((address(storage[0x13])))))).call{ value: 0 }(ret0.length, 0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, 0, 0, 0);","if (bytes1((storage[0x07] / 0x010000000000000000000000000000000000000000))) { .. }
if (storage[0x03]) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (!((msg.value > arg0))) { .. }
if (!((!((address((address(storage[0x13]))).code.length))))) { .. }
if (!((storage[0x0f] > ~(storage[0x0b])))) { .. }
if (storage[0x0e] == block.number) { .. }
if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0c]))) { .. }
if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0f]))) { .. }
if (!((storage[0x0c] > (storage[0x0f] + storage[0x0b])))) { .. }
if (!((0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee == (address(storage[0x13]))))) { .. }
if (!((!((address((address(storage[0x10]))).code.length))))) { .. }
if (address((address((address(storage[0x13]))))).code.length) { .. }
if (!((msg.value < arg0))) { .. }
if (!((block.number == storage[0x0e]))) { .. }"
5293ff31,"getDiv(arg0 uint256, arg1 uint256)",false,false,true,uint256,1714,14,"","","","SafeMath: division by zero
SafeMath: multiplication overflow","",21229,22064,21489,"","if (arg0) { .. }
if (arg1) { .. }
if (((arg0 * 0x0de0b6b3a7640000) / arg0) == 0x0de0b6b3a7640000) { .. }
if (!(((arg0) & ((0x0de0b6b3a7640000 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / arg0)))))) { .. }"
8bcd4016,"setInterestRateModel(arg0 address)",false,false,false,,2142,26,"","","0x08
0x0c
0x0d
0x06
0x0b
0x0f
0x0e","SafeMath: multiplication overflow
invalid interestRateModel
SafeMath: subtraction overflow
borrow rate is absurdly high
require admin auth
block number check fails","",21208,42780,27084,"address(address(arg0)).call{ value: 0 }(0x2191f92a00000000000000000000000000000000000000000000000000000000);
address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, 0x08c379a000000000000000000000000000000000000000000000000000000000);","if (!((block.number < storage[0x0e]))) { .. }
if (!((storage[0x0e] > block.number))) { .. }
if (((0 * storage[0x0b]) / 0) == storage[0x0b]) { .. }
if (arg0 == (address(arg0))) { .. }
if (!((!((address((address(arg0))).code.length))))) { .. }
if (!((block.number == storage[0x0e]))) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (msg.sender == (address(storage[0x06]))) { .. }
if (!(((0) & ((storage[0x0b] > 0))))) { .. }
if (storage[0x0e] == block.number) { .. }"
6208fc41,"mulScalarTruncateAddUInt(arg0 uint256, arg1 uint256, arg2 uint256)",false,false,true,uint256,1746,14,"","","","SafeMath: division by zero
SafeMath: addition overflow
SafeMath: multiplication overflow","",21251,22209,21556,"","if (!(((arg0) & ((arg1 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / arg0)))))) { .. }
if (!(((((arg0 * arg1) / 0x0de0b6b3a7640000) + arg2) < ((arg0 * arg1) / 0x0de0b6b3a7640000)))) { .. }
if (((arg0 * arg1) / arg0) == arg1) { .. }
if (arg0) { .. }
if (!((((arg0 * arg1) / 0x0de0b6b3a7640000) > ~(arg2)))) { .. }"
